method,slice_idx,ssim,psnr,rmse,inference_ms
FBP,0,0.9553901262218122,25.0912425990272,0.05564650148153305,0.0017900001694215462
FBP,1,0.9185728917029042,25.07867462542217,0.05572707951068878,0.002950000634882599
FBP,2,0.7001369921562531,24.0941086758627,0.06241580471396446,0.0024900000425986946
FBP,3,0.9454734183509593,28.68443258170615,0.03679411858320236,0.0025199997253366746
FBP,4,0.9695701014768779,26.612891474504927,0.04670414328575134,0.002320000021427404
FBP,5,0.9291662001377692,22.279101509410367,0.0769210010766983,0.0023000002329354174
FBP,6,0.6830972516834493,23.012975341957237,0.07068890333175659,0.0021699997887481004
FBP,7,0.6603018751491956,17.542857211945027,0.1326957792043686,0.0021799996829940937
FBP,8,0.9362583773988039,22.51572938441262,0.07468035072088242,0.001749999682942871
FBP,9,0.9334848043270737,25.00572594879697,0.05619707331061363,0.0018499995348975062
RED-CNN,0,0.9503065577966209,24.65529441677016,0.05851069837808609,29.347910000069533
RED-CNN,1,0.922736845396716,25.108372776021007,0.055536866188049316,28.726690000439703
RED-CNN,2,0.6681054582670951,22.650285770143817,0.0737030878663063,26.198769999609794
RED-CNN,3,0.9389485549007285,27.34123531466285,0.04294753447175026,21.304728999893996
RED-CNN,4,0.971509828224477,26.774302072513933,0.04584425315260887,23.424570000315725
RED-CNN,5,0.9301815543469932,22.16465210783383,0.07794125378131866,24.036540000452078
RED-CNN,6,0.647887723367577,21.746689092009333,0.0817834734916687,21.258769999803917
RED-CNN,7,0.6377195499709494,17.1382387327552,0.13902345299720764,22.30965000035212
RED-CNN,8,0.9346168148514065,22.279259645068848,0.07674141973257065,20.519460000286927
RED-CNN,9,0.9093891348364219,23.40079116126188,0.06760214269161224,22.044979999918723
